first,second,first_win
44,20,1
32,32,0
17,47,0
28,36,0
37,27,1
10,54,0
28,36,0
25,39,0
23,41,0
25,39,0
20,44,0
35,29,1
22,42,0
17,47,0
27,37,0
36,28,1
21,43,0
21,43,0
16,48,0
12,52,0
25,39,0
33,31,1
19,45,0
26,38,0
33,31,1
21,43,0
19,45,0
25,39,0
43,21,1
17,47,0
22,42,0
12,52,0
44,20,1
36,28,1
9,55,0
22,42,0
29,35,0
31,33,0
30,34,0
24,40,0
25,39,0
18,46,0
36,28,1
32,32,0
31,33,0
32,32,0
17,47,0
21,43,0
26,38,0
43,21,1
45,19,1
11,53,0
24,40,0
44,20,1
23,41,0
37,27,1
30,34,0
37,27,1
29,35,0
24,40,0
18,46,0
31,33,0
13,51,0
29,35,0
43,21,1
39,25,1
38,26,1
39,25,1
37,27,1
22,42,0
15,49,0
34,30,1
33,31,1
40,24,1
19,45,0
24,40,0
28,36,0
21,43,0
21,43,0
18,45,0
46,18,1
27,37,0
21,43,0
23,41,0
15,49,0
14,50,0
35,29,1
19,45,0
30,34,0
13,51,0
21,43,0
21,43,0
21,43,0
46,18,1
24,40,0
23,41,0
23,41,0
30,34,0
10,54,0
53,11,1
34,30,1
18,46,0
59,5,1
20,44,0
23,41,0
13,51,0
7,57,0
16,48,0
10,54,0
38,26,1
26,38,0
28,36,0
44,20,1
39,25,1
18,46,0
13,51,0
9,55,0
30,34,0
40,24,1
34,30,1
25,39,0
39,25,1
32,32,0
24,40,0
25,39,0
21,43,0
14,50,0
23,41,0
8,56,0
25,39,0
21,43,0
32,32,0
5,59,0
19,45,0
17,47,0
25,39,0
21,43,0
29,35,0
31,33,0
26,38,0
27,37,0
9,55,0
46,18,1
51,13,1
13,51,0
16,48,0
16,48,0
24,40,0
35,29,1
17,47,0
32,32,0
28,36,0
16,48,0
27,37,0
25,39,0
25,39,0
27,36,0
19,45,0
30,34,0
33,31,1
39,25,1
19,45,0
33,31,1
14,50,0
12,52,0
12,52,0
22,42,0
51,13,1
32,32,0
27,37,0
46,18,1
11,53,0
51,13,1
18,46,0
32,32,0
25,39,0
4,60,0
21,43,0
7,57,0
21,43,0
34,30,1
24,40,0
45,19,1
21,43,0
31,33,0
28,36,0
10,54,0
27,37,0
11,53,0
38,26,1
17,47,0
12,52,0
29,35,0
39,25,1
35,29,1
28,36,0
27,37,0
31,33,0
10,54,0
18,46,0
5,57,0
15,49,0
29,35,0
36,28,1
24,40,0
35,29,1
34,30,1
11,53,0
31,33,0
28,36,0
43,21,1
26,38,0
25,39,0
21,43,0
29,35,0
15,49,0
16,48,0
31,33,0
15,49,0
24,40,0
35,29,1
32,32,0
17,47,0
17,47,0
33,31,1
34,30,1
32,32,0
26,38,0
32,32,0
34,30,1
30,34,0
16,48,0
23,41,0
29,35,0
7,57,0
27,37,0
11,53,0
21,43,0
19,45,0
25,39,0
23,41,0
35,29,1
5,59,0
22,42,0
18,46,0
25,39,0
15,49,0
33,31,1
41,23,1
14,50,0
16,48,0
37,27,1
17,47,0
21,43,0
47,16,1
21,43,0
17,47,0
30,34,0
14,50,0
23,41,0
27,37,0
16,48,0
14,50,0
12,52,0
12,52,0
48,15,1
34,30,1
7,57,0
13,51,0
29,35,0
20,44,0
12,52,0
30,34,0
11,52,0
18,45,0
23,41,0
45,19,1
41,23,1
27,37,0
25,39,0
37,27,1
34,30,1
16,48,0
22,42,0
19,45,0
23,41,0
29,35,0
15,49,0
28,36,0
5,59,0
15,49,0
6,58,0
19,45,0
25,39,0
26,38,0
14,50,0
23,41,0
38,26,1
16,48,0
29,35,0
28,36,0
41,23,1
16,48,0
22,42,0
22,42,0
21,43,0
41,23,1
26,38,0
24,40,0
37,27,1
37,27,1
13,51,0
26,38,0
36,28,1
17,47,0
10,53,0
43,21,1
31,33,0
24,40,0
13,51,0
13,51,0
33,31,1
31,33,0
6,57,0
39,25,1
24,40,0
23,41,0
31,33,0
12,52,0
28,36,0
30,34,0
32,32,0
31,33,0
23,41,0
24,40,0
31,33,0
20,44,0
7,57,0
25,39,0
14,50,0
42,22,1
50,14,1
27,37,0
16,48,0
30,34,0
28,36,0
42,22,1
23,41,0
35,28,1
26,38,0
25,39,0
23,41,0
7,57,0
22,42,0
15,49,0
7,57,0
30,34,0
31,33,0
22,42,0
18,46,0
27,37,0
11,53,0
19,45,0
18,46,0
34,30,1
25,39,0
19,45,0
22,42,0
15,49,0
20,44,0
20,44,0
16,48,0
10,53,0
42,22,1
38,26,1
25,39,0
12,52,0
20,44,0
9,55,0
22,42,0
22,42,0
43,21,1
21,43,0
26,38,0
14,50,0
26,38,0
31,33,0
38,26,1
24,40,0
33,31,1
28,36,0
40,24,1
28,36,0
24,40,0
29,35,0
39,25,1
50,14,1
33,31,1
48,16,1
39,25,1
27,37,0
26,38,0
29,35,0
40,24,1
42,22,1
22,42,0
29,35,0
22,42,0
30,34,0
31,33,0
46,18,1
38,26,1
26,38,0
17,47,0
17,47,0
25,39,0
18,46,0
26,38,0
45,19,1
20,44,0
22,42,0
12,52,0
39,25,1
22,42,0
43,21,1
29,35,0
33,31,1
25,39,0
45,19,1
39,25,1
34,30,1
40,24,1
21,43,0
36,28,1
28,36,0
26,38,0
45,19,1
41,23,1
32,32,0
42,22,1
39,25,1
11,52,0
35,29,1
24,40,0
19,45,0
33,31,1
48,16,1
45,19,1
35,29,1
39,25,1
33,31,1
32,32,0
27,37,0
22,42,0
44,20,1
10,54,0
43,21,1
24,40,0
33,31,1
31,33,0
27,37,0
12,52,0
29,35,0
25,39,0
31,33,0
26,38,0
35,29,1
51,13,1
32,32,0
33,31,1
33,31,1
51,13,1
19,45,0
42,22,1
37,27,1
15,49,0
25,39,0
31,33,0
38,26,1
38,26,1
32,32,0
36,28,1
25,39,0
58,6,1
41,23,1
37,27,1
40,24,1
46,18,1
37,27,1
25,39,0
20,44,0
36,28,1
40,24,1
34,30,1
45,19,1
51,13,1
24,40,0
45,19,1
30,34,0
22,42,0
38,26,1
37,27,1
20,44,0
36,28,1
26,38,0
41,23,1
29,35,0
24,40,0
31,33,0
34,30,1
29,35,0
32,32,0
29,35,0
23,41,0
30,34,0
41,23,1
31,33,0
29,35,0
22,42,0
30,34,0
39,25,1
14,50,0
47,17,1
33,31,1
36,28,1
23,41,0
38,26,1
28,36,0
34,30,1
23,41,0
36,28,1
33,31,1
37,27,1
31,33,0
38,26,1
18,46,0
37,27,1
17,47,0
29,35,0
25,39,0
30,34,0
31,33,0
25,39,0
30,34,0
29,35,0
39,25,1
46,18,1
33,31,1
39,25,1
33,31,1
34,30,1
36,28,1
21,43,0
43,21,1
32,32,0
17,47,0
31,33,0
40,24,1
38,26,1
21,43,0
26,38,0
25,39,0
39,25,1
35,29,1
17,47,0
34,30,1
32,32,0
30,34,0
22,42,0
33,31,1
21,43,0
19,45,0
19,45,0
26,38,0
37,27,1
20,44,0
32,32,0
32,32,0
38,26,1
44,20,1
40,24,1
25,39,0
13,51,0
19,45,0
31,33,0
37,27,1
36,28,1
37,27,1
35,29,1
16,48,0
37,27,1
42,22,1
39,25,1
39,25,1
31,33,0
33,31,1
51,13,1
29,35,0
22,42,0
34,30,1
32,32,0
37,27,1
42,22,1
51,13,1
31,33,0
31,33,0
30,34,0
40,24,1
29,35,0
42,22,1
53,11,1
29,35,0
27,37,0
31,33,0
21,43,0
32,32,0
37,27,1
24,40,0
39,25,1
29,35,0
34,30,1
34,30,1
17,47,0
38,26,1
22,42,0
49,15,1
33,31,1
26,38,0
34,30,1
20,44,0
51,13,1
10,54,0
35,29,1
27,37,0
19,45,0
42,22,1
32,32,0
31,33,0
24,40,0
35,29,1
30,34,0
8,56,0
34,30,1
34,29,1
32,32,0
24,40,0
11,53,0
35,29,1
22,42,0
49,15,1
31,33,0
34,30,1
32,32,0
26,38,0
14,50,0
45,19,1
39,25,1
24,40,0
38,26,1
26,38,0
27,37,0
37,27,1
44,20,1
16,48,0
23,41,0
31,33,0
31,33,0
41,23,1
40,24,1
18,46,0
48,16,1
33,31,1
38,26,1
38,26,1
38,26,1
29,35,0
41,23,1
49,15,1
34,30,1
32,32,0
18,46,0
35,29,1
46,18,1
39,25,1
26,38,0
9,55,0
43,21,1
40,24,1
41,23,1
41,23,1
27,37,0
35,29,1
27,37,0
23,41,0
34,30,1
44,19,1
35,29,1
25,39,0
24,40,0
25,39,0
34,30,1
36,28,1
22,42,0
46,18,1
44,20,1
44,20,1
32,32,0
33,31,1
30,34,0
13,51,0
56,8,1
28,36,0
43,21,1
20,44,0
16,48,0
38,26,1
35,28,1
34,30,1
34,30,1
40,24,1
42,22,1
25,39,0
33,31,1
22,42,0
25,39,0
36,28,1
22,42,0
47,17,1
17,47,0
29,35,0
42,22,1
38,26,1
29,35,0
32,32,0
17,47,0
36,28,1
18,46,0
30,34,0
49,15,1
28,36,0
35,29,1
39,25,1
48,16,1
30,34,0
34,30,1
36,28,1
47,17,1
28,36,0
23,41,0
29,35,0
35,29,1
33,31,1
45,19,1
27,37,0
35,29,1
39,25,1
29,35,0
31,33,0
17,47,0
26,38,0
30,34,0
28,36,0
37,27,1
25,39,0
32,32,0
34,30,1
40,24,1
19,45,0
34,30,1
39,25,1
45,19,1
17,47,0
25,39,0
26,38,0
18,46,0
29,35,0
32,32,0
34,30,1
34,30,1
35,29,1
31,33,0
28,36,0
19,45,0
19,45,0
41,23,1
28,36,0
26,38,0
29,35,0
32,32,0
37,27,1
35,29,1
37,27,1
36,28,1
26,38,0
31,33,0
50,14,1
18,46,0
36,28,1
21,43,0
34,30,1
47,17,1
29,35,0
32,32,0
25,39,0
17,47,0
29,35,0
22,42,0
34,30,1
34,30,1
31,33,0
24,40,0
29,35,0
30,34,0
36,28,1
